Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key,Speakers Config
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{743b1568-531e-44a0-840f-c65ca2a65a7a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{87e01071-09d4-49ef-ae09-c126c6ae8d85}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Render,Razer Kraken Kitty Edition,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Razer Kraken Kitty Edition\Application\System Sounds,,,,,
System Sounds,Application,Capture,Steam Streaming Speakers,,,,Inactive,No,,10.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{c0b90b3c-a78d-405a-8f24-1c5c86d47d6d}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Steam Streaming Speakers\Application\System Sounds,,,,,
System Sounds,Application,Capture,Virtual Audio Cable,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{d9055bcb-8475-4737-a73b-e8be7a818a1a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Virtual Audio Cable\Application\System Sounds,,,,,
System Sounds,Application,Capture,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{ea93387c-4424-4c9b-b293-402b602d656a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Capture,Iriun Webcam,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{eb31ff50-4eae-41d7-8436-d6836db6470b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Iriun Webcam\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,Yes,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{f1257ab6-b9bb-4f12-9afc-65b6ff013c22}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{2164eb2a-14fe-48bd-b664-aa7a1970bf94}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Virtual Cable,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{15715ad3-9de7-4ac2-91c7-1c44a142fb21}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Virtual Cable\Application\System Sounds,,,,,
System Sounds,Application,Render,Krisp Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{28fe42ee-e378-4be1-870a-3287615380f1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Krisp Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{313a6ecb-ca9b-4945-877d-9ae58ada074b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Render,NVIDIA High Definition Audio,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{44901c96-8915-4cf3-a4c5-07861dfa6fb0}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,NVIDIA High Definition Audio\Application\System Sounds,,,,,
System Sounds,Application,Render,Steam Streaming Speakers,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{50473eac-15ee-46bf-b023-e24f934eaff1}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Steam Streaming Speakers\Application\System Sounds,,,,,
System Sounds,Application,Render,Steam Streaming Microphone,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{551286aa-a23b-4ba2-bc3c-b22b89d326f6}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Steam Streaming Microphone\Application\System Sounds,,,,,
System Sounds,Application,Render,VB-Audio Voicemeeter VAIO,,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{591d394c-b7be-4607-974d-0404024b3e3a}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,VB-Audio Voicemeeter VAIO\Application\System Sounds,,,,,
System Sounds,Application,Render,Voicemod Virtual Audio Device (WDM),,,,Inactive,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{6697970b-a497-4bbb-83ca-c43585f9a0b5}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|25%b#,Voicemod Virtual Audio Device (WDM)\Application\System Sounds,,,,,
Динамики,Device,Render,Razer Kraken Kitty Edition,Render,Render,Render,Active,No,-20.41 dB,25.0%,-64.00 dB,0.00 dB,1.00 dB,2,"-20.41 dB, -20.41 dB","25.0%, 25.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959},Razer Kraken Kitty Edition\Device\Динамики\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{1ca65b29-d2bc-4694-aef1-4c5b2b26b959},0x3 0x3 0x3
Запись,Subunit,Capture,Razer Kraken Kitty Edition,,,,,Yes,,47.5%,-30.00 dB,5.00 dB,1.00 dB,1,-1.30 dB,47.5%,{2}.\\?\usb#vid_1532&pid_0521&mi_00#7&2417eb91&0&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020005,Razer Kraken Kitty Edition\Subunit\Запись,,,,,
Микрофон,Device,Capture,Razer Kraken Kitty Edition,Capture,Capture,Capture,Active,Yes,-1.30 dB,68.2%,-30.00 dB,5.00 dB,1.00 dB,1,-1.30 dB,68.2%,{0.0.1.00000000}.{70e3a7a0-2870-4a53-8145-261ad70d55cd},Razer Kraken Kitty Edition\Device\Микрофон\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{70e3a7a0-2870-4a53-8145-261ad70d55cd},
Яндекс Музыка,Application,Render,Razer Kraken Kitty Edition,,,,Active,No,,10.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{1ca65b29-d2bc-4694-aef1-4c5b2b26b959}|\Device\HarddiskVolume3\Users\aboby\AppData\Local\Programs\YandexMusic\Яндекс Музыка.exe%b{00000000-0000-0000-0000-000000000000}|25%b137708,Razer Kraken Kitty Edition\Application\Яндекс Музыка,C:\Users\aboby\AppData\Local\Programs\YandexMusic\Яндекс Музыка.exe,137708,,,
